 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Ano do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2010-2020
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"352160 IRAPURU";11;12;13;13;9;6;12;7;6;10;11;110
"352170 ITABERA";41;43;41;35;63;61;81;65;59;63;63;615
"352180 ITAI";88;88;92;69;84;70;83;104;88;87;98;951
"352190 ITAJOBI";35;47;46;34;54;48;58;57;59;41;40;519
"352200 ITAJU";1;2;-;4;5;4;3;2;3;2;1;27
"352210 ITANHAEM";513;552;519;609;555;540;597;582;703;705;764;6639
"352215 ITAOCA";11;5;9;7;24;10;19;8;7;9;7;116
"352220 ITAPECERICA DA SERRA";960;925;900;826;854;883;948;1007;1026;1033;1199;10561
"352230 ITAPETININGA";667;693;741;724;734;810;836;827;772;776;873;8453
"352240 ITAPEVA";475;499;491;554;587;620;629;611;640;638;735;6479
"352250 ITAPEVI";648;616;629;686;758;772;759;735;737;759;981;8080
"352260 ITAPIRA";395;397;406;415;398;468;406;439;408;408;443;4583
"352265 ITAPIRAPUA PAULISTA";1;4;6;5;4;7;12;8;8;9;8;72
"352270 ITAPOLIS";183;156;209;227;196;224;226;226;229;269;237;2382
"352280 ITAPORANGA";72;82;69;58;63;70;110;79;84;77;83;847
"352290 ITAPUI";45;44;32;30;30;24;34;33;31;24;33;360
"352300 ITAPURA";2;6;6;14;5;4;6;4;7;1;1;56
"352310 ITAQUAQUECETUBA";691;752;696;828;860;825;930;850;788;845;1039;9104
"352320 ITARARE";218;198;222;208;220;223;242;248;266;231;233;2509
"352330 ITARIRI";32;30;43;34;36;27;45;40;47;29;36;399
"352340 ITATIBA";390;396;394;407;475;435;451;416;493;443;481;4781
"352350 ITATINGA";49;43;43;37;37;41;53;53;44;47;30;477
"352360 ITIRAPINA";36;38;38;39;31;35;35;41;32;49;27;401
"352370 ITIRAPUA";7;10;9;4;12;12;8;7;10;9;7;95
"352380 ITOBI";2;8;3;4;2;5;6;2;5;8;9;54
"352390 ITU";678;754;648;636;725;681;641;574;617;618;717;7289
"352400 ITUPEVA";94;84;92;104;120;98;120;139;113;110;176;1250
"352410 ITUVERAVA";242;249;273;287;252;314;330;334;283;299;431;3294
"352420 JABORANDI";15;17;16;9;12;5;15;15;14;15;11;144
"352430 JABOTICABAL";379;289;347;339;364;361;349;352;318;339;390;3827
"352440 JACAREI";810;817;858;878;813;848;874;934;912;857;1074;9675
"352450 JACI";18;19;25;10;11;10;7;15;12;25;26;178
"352460 JACUPIRANGA";44;28;45;31;28;24;25;26;31;27;39;348
"352470 JAGUARIUNA";130;128;174;149;146;134;159;154;150;153;210;1687
"352480 JALES";401;382;407;371;393;407;420;394;417;457;569;4618
"352490 JAMBEIRO";3;8;12;5;9;4;4;5;8;7;7;72
"352500 JANDIRA";170;185;182;156;147;179;157;162;187;154;177;1856
"352510 JARDINOPOLIS";67;50;84;89;76;75;70;71;75;76;97;830
"352520 JARINU";73;74;62;62;73;89;116;123;102;109;88;971
"352530 JAU";794;828;843;785;948;937;959;931;924;961;1060;9970
"352540 JERIQUARA";2;3;3;1;2;4;3;3;5;4;2;32
"352550 JOANOPOLIS";59;56;51;36;40;37;53;50;50;57;44;533
"352560 JOAO RAMALHO";7;4;8;6;-;7;1;4;3;4;-;44
"352570 JOSE BONIFACIO";129;133;122;109;102;108;92;84;84;105;105;1173
"352580 JULIO MESQUITA";1;3;6;2;8;7;11;9;2;9;8;66
"352585 JUMIRIM";3;6;3;4;4;1;2;2;1;4;2;32
"352590 JUNDIAI";2056;2287;2186;2403;2387;2316;2395;2281;2364;2394;3104;26173
"352600 JUNQUEIROPOLIS";86;106;111;106;115;94;106;102;106;89;87;1108
"352610 JUQUIA";58;49;39;52;47;32;41;58;50;57;51;534
"352620 JUQUITIBA";101;88;70;99;104;108;108;95;100;106;114;1093
"352630 LAGOINHA";19;13;9;13;13;16;18;9;12;10;10;142
"352640 LARANJAL PAULISTA";101;124;112;121;114;121;105;109;94;111;94;1206
"352650 LAVINIA";4;7;8;3;6;7;11;7;7;5;2;67
"352660 LAVRINHAS";8;8;17;7;10;7;7;14;10;8;12;108
"352670 LEME";364;356;369;394;327;328;341;390;369;373;488;4099
"352680 LENCOIS PAULISTA";190;183;171;175;157;179;215;204;175;220;221;2090
"352690 LIMEIRA";1283;1290;1401;1409;1391;1481;1484;1496;1417;1595;1801;16048
"352700 LINDOIA";10;11;10;10;8;12;14;6;9;5;7;102
"352710 LINS";444;412;413;459;442;436;474;493;466;535;621;5195
"352720 LORENA";376;437;402;413;492;507;524;498;457;447;470;5023
"352725 LOURDES";2;1;2;1;3;3;6;6;9;4;3;40
"352730 LOUVEIRA";65;89;99;83;85;79;86;105;90;110;144;1035
"352740 LUCELIA";79;75;58;76;57;72;73;43;66;70;91;760
"352750 LUCIANOPOLIS";3;1;2;1;2;2;2;3;4;1;5;26
"352760 LUIS ANTONIO";12;18;11;20;16;14;11;18;15;19;21;175
"352770 LUIZIANIA";10;9;9;14;12;5;7;9;12;10;8;105
"352780 LUPERCIO";7;5;3;9;4;9;5;11;5;11;5;74
"352790 LUTECIA";6;2;5;4;5;3;8;4;1;5;7;50
