ano,id_municipio,sigla_uf,cargo,sigla_partido
2016,3535408,SP,prefeito,CIDADANIA
2016,3539509,SP,prefeito,CIDADANIA
2016,3544509,SP,prefeito,PSD
2016,3549953,SP,prefeito,SOLIDARIEDADE
2016,3550605,SP,prefeito,PSDB
2016,3556453,SP,prefeito,PL
2020,3503356,SP,prefeito,PV
2020,3504503,SP,prefeito,PTB
2020,3509700,SP,prefeito,PSDB
2020,3512209,SP,prefeito,PSDB
2020,3513009,SP,prefeito,PSD
2020,3514957,SP,prefeito,PSDB
2020,3519204,SP,prefeito,PSDB
2020,3519402,SP,prefeito,PSDB
2020,3520103,SP,prefeito,MDB
2020,3522208,SP,prefeito,PL
2020,3522604,SP,prefeito,PSD
2020,3522653,SP,prefeito,PC do B
2020,3523503,SP,prefeito,DEM
2020,3524105,SP,prefeito,CIDADANIA
2020,3526209,SP,prefeito,PL
2020,3527207,SP,prefeito,PSDB
2020,3527504,SP,prefeito,PSDB
2020,3527900,SP,prefeito,PTB
2020,3528908,SP,prefeito,PV
2020,3531407,SP,prefeito,PP
2020,3531803,SP,prefeito,PTB
2020,3531902,SP,prefeito,CIDADANIA
2020,3532603,SP,prefeito,SOLIDARIEDADE
2020,3538006,SP,prefeito,PL
2020,3539004,SP,prefeito,DEM
2020,3539400,SP,prefeito,PODE
2020,3540002,SP,prefeito,PTB
2020,3540804,SP,prefeito,PTB
2020,3541505,SP,prefeito,PV
2020,3542503,SP,prefeito,PSDB
2020,3542602,SP,prefeito,PSDB
2020,3548609,SP,prefeito,PP
2020,3550407,SP,prefeito,PSDB
2020,3551405,SP,prefeito,CIDADANIA
2020,3551504,SP,prefeito,MDB
2020,3551603,SP,prefeito,DEM
2020,3552403,SP,prefeito,CIDADANIA
2020,3552502,SP,prefeito,PL
2020,3554805,SP,prefeito,PSDB
2008,3502101,SP,prefeito,PT
2008,3502507,SP,prefeito,PSDB
2008,3502606,SP,prefeito,PTB
2008,3507407,SP,prefeito,PT
2008,3508108,SP,prefeito,PPS
2008,3511706,SP,prefeito,PSDB
2008,3515509,SP,prefeito,DEM
2008,3532801,SP,prefeito,PMDB
2008,3533254,SP,prefeito,PR
2008,3533403,SP,prefeito,PDT
2008,3534203,SP,prefeito,PMDB
2008,3535804,SP,prefeito,PSDB
2008,3536307,SP,prefeito,PT
2008,3538006,SP,prefeito,PPS
2008,3539905,SP,prefeito,PSDB
2008,3541406,SP,prefeito,PTB
2008,3544251,SP,prefeito,PMN
2008,3547502,SP,prefeito,PMDB
2008,3547650,SP,prefeito,DEM
2008,3548104,SP,prefeito,DEM
2008,3549508,SP,prefeito,PSDB
2012,3503109,SP,prefeito,PR
2012,3503208,SP,prefeito,PMDB
2012,3507308,SP,prefeito,PSD
2012,3507803,SP,prefeito,PT
2012,3509452,SP,prefeito,PV
