ano,id_municipio_7digitos,pib
2014,3507159,51313775
2015,3507159,50969059
2016,3507159,51423707
2017,3507159,53768555
2018,3507159,62342597
2019,3507159,59035654
2010,3507209,60524649
2011,3507209,44294872
2012,3507209,72194412
2013,3507209,69237495
2014,3507209,73588248
2015,3507209,71525949
2016,3507209,78969785
2017,3507209,81500275
2018,3507209,49205271
2019,3507209,42257891
2010,3507308,159009864
2011,3507308,185077898
2012,3507308,184688705
2013,3507308,188860110
2014,3507308,152290227
2015,3507308,257273070
2016,3507308,340639809
2017,3507308,372153245
2018,3507308,365386314
2019,3507308,386123624
2010,3507407,217809370
2011,3507407,245039807
2012,3507407,259663000
2013,3507407,285854691
2014,3507407,331751729
2015,3507407,326516409
2016,3507407,370793351
2017,3507407,405881879
2018,3507407,369046353
2019,3507407,409160572
2010,3507456,38515477
2011,3507456,52944859
2012,3507456,46868600
2013,3507456,45158512
2014,3507456,47954763
2015,3507456,43791407
2016,3507456,63956738
2017,3507456,62226858
2018,3507456,65044260
2019,3507456,58143400
2010,3507506,3012753261
2011,3507506,3328759116
2012,3507506,3498939593
2013,3507506,3940403597
2014,3507506,4036055368
2015,3507506,4639813695
2016,3507506,4157937857
2017,3507506,4280451777
2018,3507506,4622544645
2019,3507506,5134696020
2010,3507605,3245514692
2011,3507605,3752010520
2012,3507605,4140413610
2013,3507605,4508779476
2014,3507605,4662292846
2015,3507605,4719084077
2016,3507605,5315536121
2017,3507605,5636712409
2018,3507605,6303023184
2019,3507605,6477958108
2010,3507704,52739903
2011,3507704,55718077
2012,3507704,61860247
2013,3507704,69833415
2014,3507704,66151051
2015,3507704,69775863
2016,3507704,92060103
2017,3507704,94101943
2018,3507704,98117151
2019,3507704,97884461
2010,3507753,132220893
2011,3507753,114408169
2012,3507753,129938842
2013,3507753,179240987
2014,3507753,200965722
2015,3507753,673340674
2016,3507753,192536622
2017,3507753,171894307
2018,3507753,82467946
2019,3507753,54308359
2010,3507803,274485402
2011,3507803,332919031
2012,3507803,365486585
2013,3507803,431643107
2014,3507803,484778206
2015,3507803,490129180
2016,3507803,624900649
2017,3507803,649016902
2018,3507803,609603053
2019,3507803,667524660
2010,3507902,406092790
2011,3507902,475780808
2012,3507902,494490776
2013,3507902,532288164
2014,3507902,604583982
2015,3507902,594229321
2016,3507902,840972214
2017,3507902,767815178
2018,3507902,692053962
2019,3507902,932880158
2010,3508009,203949591
2011,3508009,226044680
2012,3508009,216187032
2013,3508009,272075343
2014,3508009,384182230
2015,3508009,357832367
2016,3508009,380781023
2017,3508009,368329299
2018,3508009,412614114
2019,3508009,461987453
2010,3508108,360765513
2011,3508108,375446903
2012,3508108,437168703
2013,3508108,462022009
2014,3508108,379384767
2015,3508108,630827603
2016,3508108,608006139
2017,3508108,621092768
2018,3508108,590077527
2019,3508108,598810319
2010,3508207,87685124
2011,3508207,121587259
2012,3508207,133782569
2013,3508207,156221939
2014,3508207,283356041
2015,3508207,294750537
2016,3508207,166564968
2017,3508207,186081856
2018,3508207,173231165
2019,3508207,170741130
2010,3508306,100391203
2011,3508306,99729019
2012,3508306,97190886
2013,3508306,82446388
2014,3508306,85973569
2015,3508306,77857419
2016,3508306,83787072
2017,3508306,83190767
2018,3508306,82743895
2019,3508306,74128710
2010,3508405,1412089251
2011,3508405,1908403417
2012,3508405,2426146123
2013,3508405,2665912274
2014,3508405,3923457825
2015,3508405,3959518703
2016,3508405,4242843800
2017,3508405,4496542973
2018,3508405,4674182161
2019,3508405,5320943431
2010,3508504,2765679952
2011,3508504,3168298196
2012,3508504,3309843439
2013,3508504,3595377550
2014,3508504,3652238467
2015,3508504,3324439922
2016,3508504,3750298763
2017,3508504,4184497074
2018,3508504,3990604433
2019,3508504,4041591065
2010,3508603,307018880
2011,3508603,343814560
2012,3508603,394194559
2013,3508603,458379361
2014,3508603,518152399
2015,3508603,537569323
2016,3508603,570979903
2017,3508603,592020988
2018,3508603,604774669
2019,3508603,618061674
2010,3508702,183486775
2011,3508702,185892522
2012,3508702,271269627
2013,3508702,207006725
2014,3508702,251338924
2015,3508702,285908347
2016,3508702,312655659
2017,3508702,343813575
2018,3508702,357167085
2019,3508702,402227488
2010,3508801,261963621
2011,3508801,282929625
2012,3508801,290216194
2013,3508801,335201324
2014,3508801,328297360
2015,3508801,345470701
2016,3508801,419216410
2017,3508801,479128592
2018,3508801,503932628
2019,3508801,507749278
2010,3508900,53478447
2011,3508900,45661009
2012,3508900,44691023
2013,3508900,48385018
2014,3508900,48517950
2015,3508900,50163011
2016,3508900,57908421
2017,3508900,59759935
2018,3508900,58081286
2019,3508900,58568290
2010,3509007,1998876391
2011,3509007,2042344441
2012,3509007,2427255454
2013,3509007,2646902313
2014,3509007,3979433009
2015,3509007,2745118077
2016,3509007,3056232894
2017,3509007,3318817332
2018,3509007,3553463663
2019,3509007,3912165776
2010,3509106,57393619
2011,3509106,58575784
2012,3509106,66043866
2013,3509106,65735122
2014,3509106,76514342
2015,3509106,73219702
2016,3509106,78488830
2017,3509106,77948805
2018,3509106,75582228
2019,3509106,78862873
2010,3509205,5460802408
2011,3509205,6201955204
2012,3509205,7056254083
2013,3509205,8022351658
2014,3509205,10530947022
2015,3509205,11288059886
2016,3509205,13385278185
2017,3509205,14807216068
2018,3509205,16971943457
2019,3509205,19427569556
2010,3509254,835391464
2011,3509254,912664303
2012,3509254,967638843
2013,3509254,923583199
2014,3509254,1094915507
2015,3509254,917203292
2016,3509254,1346231965
2017,3509254,1464731248
2018,3509254,1447338743
2019,3509254,1394455946
2010,3509304,92383408
2011,3509304,99636415
2012,3509304,95441278
2013,3509304,112942685
2014,3509304,116765348
2015,3509304,115952864
2016,3509304,152376410
2017,3509304,153181327
2018,3509304,154183655
2019,3509304,155269114
2010,3509403,306018756
2011,3509403,320411333
2012,3509403,393033085
2013,3509403,435622457
2014,3509403,493496119
2015,3509403,476637396
2016,3509403,572784687
2017,3509403,583397188
2018,3509403,549433439
2019,3509403,597732036
2010,3509452,81101622
2011,3509452,100750698
2012,3509452,85658869
2013,3509452,99829874
2014,3509452,86206259
2015,3509452,90265109
2016,3509452,111190021
2017,3509452,109891656
2018,3509452,106384615
2019,3509452,116542236
2010,3509502,38195022244
2011,3509502,44613747673
2012,3509502,48438677483
2013,3509502,54363857778
2014,3509502,54639011720
2015,3509502,57154531983
2016,3509502,57778152309
2017,3509502,58469540169
2018,3509502,61388554650
2019,3509502,65874912956
2010,3509601,1189439964
2011,3509601,1376220549
2012,3509601,1416799960
2013,3509601,1505365716
2014,3509601,1589396098
2015,3509601,1607441041
2016,3509601,1764248965
2017,3509601,1850600008
2018,3509601,2102639859
2019,3509601,2146988894
2010,3509700,681915965
2011,3509700,760042416
2012,3509700,807970579
2013,3509700,920718331
2014,3509700,1051563269
2015,3509700,1141882347
2016,3509700,1158210266
2017,3509700,1195953481
2018,3509700,1243821127
2019,3509700,1318467001
2010,3509809,78906393
